,0,1,2,3,4,5,6,7,8,9
Group_PBMCs_Sample_PBMCs.1_1516087,3,3,1,3,3,22,16,13,3,729
Group_PBMCs_Sample_PBMCs.1_1520931,3,43,5,243,9,170,3,14,27,5
Group_PBMCs_Sample_PBMCs.1_1541717,2,9,3,14,4,30,6,2230,4,6
Group_PBMCs_Sample_PBMCs.1_1555817,2,5,2,7,4,198,4,1651,1,7
Group_PBMCs_Sample_PBMCs.1_1571261,0,178,1,7,4,6,45,1603,0,10
Group_PBMCs_Sample_PBMCs.1_1606405,5,8,6,11,5,147,5,2084,4,14
Group_PBMCs_Sample_PBMCs.1_1612717,1,62,0,5,4,5,48,2595,3,5
Group_PBMCs_Sample_PBMCs.1_1692485,1,14,4,10,5,28,22,3068,1,1
Group_PBMCs_Sample_PBMCs.1_1714601,3,35,0,4,2,7,26,8,0,1101
Group_PBMCs_Sample_PBMCs.1_1745940,2,80,1,4,3,6,40,1357,4,6
Group_PBMCs_Sample_PBMCs.1_1752253,1,173,2,10,7,10,30,24,1,2090
Group_PBMCs_Sample_PBMCs.1_1759848,3,12,4,4,836,209,4,12,0,8
Group_PBMCs_Sample_PBMCs.1_1778863,0,10,4,6,2,247,9,631,1,7
Group_PBMCs_Sample_PBMCs.1_1829965,1,7,0,6,6,100,2,3025,2,1
Group_PBMCs_Sample_PBMCs.1_1839318,2,39,2,708,2,194,6,5,105,416
Group_PBMCs_Sample_PBMCs.1_1846775,1,16,4,4,352,844,1,13,0,8
Group_PBMCs_Sample_PBMCs.1_1867577,3,7,2,6,4,6,29,1334,0,13
Group_PBMCs_Sample_PBMCs.1_1871190,1,4,2,3,5,226,4,3203,2,8
Group_PBMCs_Sample_PBMCs.1_1874792,2,73,2,6,2,191,6,13,1,1766
Group_PBMCs_Sample_PBMCs.1_1896842,3,61,2,4,13,7,79,1020,5,1051
Group_PBMCs_Sample_PBMCs.1_1899585,6,52,10,128,11,41,20,28,30,26
Group_PBMCs_Sample_PBMCs.1_1961475,0,49,7,372,5,307,5,6,47,3
Group_PBMCs_Sample_PBMCs.1_1961710,2,41,3,296,4,190,5,15,78,127
Group_PBMCs_Sample_PBMCs.1_1967598,5,76,4,6,2,5,41,16,1,1779
Group_PBMCs_Sample_PBMCs.1_1978193,0,8,0,4,5,14,6,8,2,309
Group_PBMCs_Sample_PBMCs.1_1980284,4,44,10,7,7,15,13,1733,2,7
Group_PBMCs_Sample_PBMCs.1_1981752,3,77,0,4,3,45,7,19,2,9
Group_PBMCs_Sample_PBMCs.1_1988983,1,10,1,3,3,79,6,1599,0,11
Group_PBMCs_Sample_PBMCs.1_1989596,4,10,3,11,7,4,64,2591,0,10
Group_PBMCs_Sample_PBMCs.1_2034439,6,130,52,9,11,14,31,77,3,12
Group_PBMCs_Sample_PBMCs.1_2057228,2,3,3,10,389,163,8,9,0,9
