Sample,TNFR1 PEX preTNFα,TNFR1 PEX postTNFα,TNFR2 PEX preTNFα,TNFR2 PEX postTNFα,TNFα AUC preTNFα,TNFα AUC postTNFα
Classic Monocytes N 1,0.501977516059779,0.278018543678797,10.1152781703722,5.08496376600467,0.403224941092912,0.569960505919743
Classic Monocytes N 2,0.668852264715161,0.356899872506573,10.7970563728771,6.23979541477961,0.443136902627416,0.593986197653196
Classic Monocytes N 3,0.579222348169853,0.26647360590481,9.53444050494748,3.50139289224046,0.411016428444113,0.57271042144209
Classic Monocytes RA 1,0.621001237725441,0.364400459150357,4.68248017104977,3.06099805998668,0.28201903699607,0.436429224518902
Classic Monocytes RA 2,0.602731799485858,0.37978373292425,6.15240352415077,4.10976244523048,0.376027571974501,0.466285010583082
Classic Monocytes RA 3,0.497581122259082,0.361079612234401,5.11105177781518,2.46838521419336,0.355866899191071,0.459324198428232
Min,0,0,0,0,0,0
Max,1,1,22.5329819251373,22.5329819251373,1,1
