Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ARSG,111.59265615227808,-1.077033699948938,0.2594548022702876,-4.151141896486988,3.308205728647034e-05,0.0029872564148113578
SLC1A5,194.34592309406185,-1.0704537383555506,0.348017190545516,-3.0758645476035746,0.002098931727105536,0.060571491104125484
CYP27A1,300.4443947324309,-1.0557858321994469,0.2117526868839788,-4.985938302534605,6.166182082611693e-07,0.00013537792309608457
KIR2DL4,93.78112637929428,-1.0524557036174835,0.9700345414640437,-1.0849672445983667,0.27793616300057933,0.7511588745154445
PAPSS2,134.2470079432391,-1.049246936932441,0.24994633326867052,-4.197888895631816,2.694147436936133e-05,0.0025349889791070486
SERPINB9,2912.4966078395773,-1.0455951376497408,0.1676288905135248,-6.237559256322698,4.444507725162129e-10,2.3697691904114456e-07
MAP4K4,831.2299544456961,-1.0317354900010092,0.2382264801978401,-4.330901792043366,1.4849990756823843e-05,0.0015254618945335465
CYRIA,234.34840999627764,-1.0259765348008425,0.18131796232619618,-5.658438478119899,1.527564544242057e-08,5.517464581251069e-06
CD93,343.06635757128106,-1.0055768575850175,0.29121838512928383,-3.4529992230353193,0.000554390599626818,0.023249106906447492
MIR155HG,106.90986455198156,-1.004917862099814,0.2885600583782357,-3.482525848336912,0.0004967072658159783,0.021583306137659766
HBEGF,95.21936644256694,-1.0036405441963032,0.3946690665004334,-2.542992672559001,0.010990753393588957,0.17405077094716337
PDGFC,136.99509191055208,-0.9927020620205423,0.33158965315038813,-2.993766701068671,0.00275556559282776,0.07222618465366784
HDGF,802.9594659649391,-0.9904076991479609,0.1638102040706632,-6.046068404387838,1.4842310003380921e-09,6.647573804314247e-07
CYB561A3,218.93611422443647,-0.9707931405649739,0.18457704953564544,-5.259554982633389,1.4440444740468816e-07,3.674764994523394e-05
ST8SIA4,173.1675564404289,-0.9649048099777822,0.34008713243500227,-2.8372282216887332,0.004550707093155988,0.10130073026255985
CLEC4E,280.8642906085814,-0.9572095785083293,0.25639495257620354,-3.733340180414962,0.0001889571104736562,0.011194459079225018
HLA-DQB1,269.8850211637185,-0.9558512160983607,0.2586266239645884,-3.695873230086464,0.00021913230071376292,0.012268121855460017
HSPA1A,595.8603757392347,-0.9546274306318143,0.32555317168443204,-2.9323241598062566,0.0033643538099631105,0.08261111756613367
MPHOSPH6,100.50901813340761,-0.9452690737124269,0.23040230157462735,-4.102689370949075,4.083753625891452e-05,0.003428200388585919
TNFRSF9,114.1712874445792,-0.943086002599072,0.28921476827341847,-3.260850088082278,0.0011107875032304838,0.03878001542993044
CXCL2,2291.200649906021,-0.940393172389783,0.18950776211573495,-4.962293691249819,6.966554816187092e-07,0.0001500086813016286
IL13RA1,234.45456238146255,-0.9400169319354148,0.2178512541292372,-4.314948452753744,1.596401493685854e-05,0.0016249915931636828
HSPA1B,201.413077246286,-0.9369624774600714,0.6944733189799368,-1.3491698699617574,0.17728241014091006,0.6591249147272684
PNRC1,2419.714469621477,-0.9320981502742285,0.22964915614619347,-4.05879196734718,4.9327232364892936e-05,0.00394512157706933
MIR3945HG,257.73240614157254,-0.9317231264924692,0.24159812300469463,-3.8564998556481513,0.0001150221659600879,0.0076672124845291725
SLC43A3,363.9356672525309,-0.9260381494782932,0.18914709585000045,-4.895862372704206,9.787555046198725e-07,0.00019569866759336986
ZBTB10,93.92989915715542,-0.9243807566070114,0.2646044286247309,-3.4934440115437106,0.0004768329606005883,0.02107302598232673
